Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-05 12:37:18+00:00,False,"#SuperMartes | Hoy la SCJN discutirá la #ReformaAlPoderJudicial que podría redefinir la justicia en México. Se esperan marchas. #FIA te informara sobre las afectaciones viales y rutas alternas. ¡Sigue la cobertura en tiempo real! 🚗⚠️

https://t.co/plsEWLB4r5 https://t.co/87TPtFTexp",1853778618587205803,0,4,4,1353,0,https://pbs.twimg.com/media/Gbnx01NaUAAzluh.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-05 22:07:29+00:00,False,"#ÚLTIMAHORA | El Pleno de la #SCJN aprueba con siete votos contra cuatro la procedencia para analizar la #ReformaAlPoderjudicial 

Decretan receso en la sesión para reanudarla a las 16:30 horas.

https://t.co/bndcIZ3vpc https://t.co/eq42ZQaYml",1853922108633415692,6,18,53,3282,1,https://pbs.twimg.com/media/Gbp0UzYWYAA7O3b.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Germán Carteño,https://x.com/arqgermanmx,arqgermanmx,False,2024-11-05 08:19:15+00:00,False,@HernanGomezB @SCJN Sensato ser selectivo en las partes que sí me gustan de la reforma (poder judicial y ministros) y desechar las que no me gustan? ¡caramba qué sorpresa Hernán Gómez pensé que eras inteligente!!!,1853713676219375834,0,0,0,15,0,,True,HernanGomezB,https://x.com/HernanGomezB,Hernán Gómez Bruera,HernanGomezB,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Armando Alvarez,https://x.com/alvarez_armando,alvarez_armando,False,2024-11-05 15:58:39+00:00,False,"El #SuperMartes mexicano |La SCJN se prepara para un debate sobre la constitucionalidad de #LaReformaAlPoderJudicial🇲🇽 
⁣
Plantea anular la elección popular de jueces federales, entre otros. De ser aprobado, regresará al legislativo para su adaptación.⁣

https://t.co/ffmUXXMWlS https://t.co/dPjsMA6Loh",1853829288014893379,0,0,0,85,0,https://pbs.twimg.com/media/Gbof6ehWkAAngRh.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",El Financiero,https://x.com/ElFinanciero_Mx,ElFinanciero_Mx,True,2024-11-05 00:10:03+00:00,False,"Sí a la elección de ministros, no a la elección de jueces y magistrados. Esto es lo que se eliminaría de la reforma al Poder Judicial si se aprueba el proyecto en la Suprema Corte.

https://t.co/qlLFTQn38P",1853590567445307890,2,2,9,2949,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Armando Alvarez,https://x.com/alvarez_armando,alvarez_armando,False,2024-11-05 23:18:52+00:00,False,"Es de #ÚLTIMAHORA | La #ReformaAlPoderJudicial sobrevive al juicio de la Suprema Corte en el #SuperMartes judicial.

Esto tras determinar que se requieren de ocho votos de 11 para declarar inválidos algunos puntos del Decreto que fueron impugnados.

https://t.co/ffmUXXMWlS https://t.co/2Nm5OIHFvA",1853940074158735604,0,0,0,239,0,https://pbs.twimg.com/media/GbqErFZXUAEWqtJ.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",adn40,https://x.com/adn40,adn40,True,2024-11-05 15:50:28+00:00,False,"🔴 Este martes se discute en la @SCJN el proyecto de sentencia del ministro Alcántara Carrancá, sigue aquí minuto a minuto la discusión ⚖️ 
https://t.co/sHRm17Cqne",1853827229265940588,0,3,8,1739,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Portal Noticias Camp,https://x.com/portalnoticamp,portalnoticamp,False,2024-11-05 21:29:26+00:00,False,"#ÚLTIMAHORA | El Pleno de la #SCJN aprueba con siete votos contra cuatro la procedencia para analizar la #ReformaAlPoderjudicial 

Decretan receso en la sesión para reanudarla a las 16:30 horas.

https://t.co/QRmxk7KibE",1853912531661967382,0,1,2,146,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Armando Alvarez,https://x.com/alvarez_armando,alvarez_armando,False,2024-11-05 22:24:53+00:00,False,"El Pleno de la #SCJN aprueba con siete votos contra cuatro la procedencia para analizar la #ReformaAlPoderjudicial 

Decretan receso en la sesión para reanudarla a las 16:30 horas.

https://t.co/ffmUXXMWlS https://t.co/ttPiA3JR8v",1853926486882881842,0,0,1,225,0,https://pbs.twimg.com/media/Gbp4T_wXUAAIzsY.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Raúl Sánchez Carrillo,https://x.com/scarrillotv,scarrillotv,False,2024-11-05 15:48:07+00:00,False,Martes histórico: Últimas noticias y actualizaciones de la discusión a la reforma al Poder Judicial en México https://t.co/XimHOFd6GJ,1853826638213169592,0,1,0,23,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",rosy ramales,https://x.com/rosyramales,rosyramales,True,2024-11-05 10:40:33+00:00,False,Suprema Corte discutirá reforma al Poder Judicial: ¿Qué se va y qué se queda si se aprueba el proyecto? https://t.co/0QNSsNHBBD,1853749234534621314,0,1,1,92,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",Ruleta Rusa Magazine,https://x.com/ruletarusa_mx,ruletarusa_mx,False,2024-11-06 16:00:01+00:00,False,"""Ayer triunfó el pueblo de México"", aseguró hoy #ClaudiaSheinbaum, luego de que en la #SCJN el ministro Alberto Pérez Dayán decidió no apoyar con su voto la invalidación parcial de la #ReformaAlPoderJudicial. El PRI lo acusa de 'traidor' . https://t.co/aMuD7G4SWe https://t.co/x4RNHh3itL",1854192019989790909,0,0,0,46,0,https://pbs.twimg.com/media/GbtR2v2WcAYm6HK.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",Ruido en la Red,https://x.com/RuidoEnLaRed,RuidoEnLaRed,False,2024-11-06 20:42:28+00:00,False,"Reforma al Poder Judicial continúa: conoce el presupuesto precautorio para elecciones judiciales 2025.

https://t.co/PSvBXznV2m https://t.co/jGNb7kB3Gx",1854263102885269847,0,0,3,1039,0,https://pbs.twimg.com/media/GbuqXuZXMAcfTcl.png,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",Axhel,https://x.com/axhelwong,axhelwong,False,2024-11-06 05:16:37+00:00,False,"@lili_ruiz9 @robin_j_brooks Bueno aver, al final solo digo “reforma poder judicial no es LA PRINCIPAL fuerza que ha depreciado el peso, tasas, curvas apuestas especulativas suenan mas a lo correcto, buenas noches y agree to disagree",1854030105187672448,0,0,0,36,0,,True,lili_ruiz9,https://x.com/lili_ruiz9,Liliana Ruiz,lili_ruiz9,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",𝘓𝘑𝘈.𝘔𝘟,https://x.com/SomosLJA,SomosLJA,False,2024-11-06 03:00:02+00:00,False,"🔎#LoVisteEnLJA | “Mientras no traicionemos al pueblo, el pueblo nos va a apoyar, mientras estemos cerca del pueblo, el pueblo nos va apoyar, porque aquí no hay divorcio entre gobierno y pueblo”

La nota completa aquí 👇
https://t.co/o4QQIwLejU",1853995729871663377,0,0,0,36,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",Angel Lee,https://x.com/orochi2mx,orochi2mx,False,2024-11-06 05:39:24+00:00,False,"@diana_paz_ Para el pueblo (reforma educativa y energética), no se puede  revisar la constitución. Mis intereses (reforma poder judicial) , ahí se puede!!",1854035836058345508,0,0,1,394,0,,True,diana_paz_,https://x.com/diana_paz_,Diana Paz,diana_paz_,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-06 06:09:58+00:00,False,"SCJN desechó el proyecto para invalidar la reforma al Poder Judicial tras no alcanzar los votos requeridos

https://t.co/h9Q7PNQVGJ

Además, las tendencias favorecen al candidato republicano Donald Trump sobre Kamala Harris.

Esto y más en #CierraTuFIA con @Jenny_Garl https://t.co/1ZeR2kygPX",1854043530777276779,1,0,8,2085,1,https://pbs.twimg.com/ext_tw_video_thumb/1854043444726870034/pu/img/ApXftApuByg9H4R9.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-07 since:2024-11-06&src=typed_query",La Jornada Maya,https://x.com/LaJornadaMaya,LaJornadaMaya,False,2024-11-06 18:38:33+00:00,False,"#DINERO, columna de #opinión de @galvanochoa: Definitivo: los ciudadanos elegirán a sus jueces. Claudia podrá cumplir su promesa de campaña. Derrota de la corrupción y el nepotismo.

https://t.co/pN6yp1aFYq",1854231914485584112,0,0,0,55,0,,False,,,,,es
